"AnimalID","Name","DateTime","OutcomeType","OutcomeSubtype","AnimalType","SexuponOutcome","AgeuponOutcome","Breed","Color"
5420,0.368999058675871,0.153884744857151,4,1,1,0.6,0.136363636363636,0.885424220449601,0.356164383561644
7396,0.288045183558205,0.236016079302509,5,14,1,0.2,0.0681818181818182,0.267585206671501,0.0986301369863014
17152,0.433322874176341,0.621896282774379,5,14,0,0.4,0.590909090909091,0.464104423495286,0.172602739726027
18183,0,0.659813510621213,5,14,0,1,0.590909090909091,0.464104423495286,0.284931506849315
8078,0.671007216818324,0.325274335607736,1,8,0,0.6,0.568181818181818,0.464104423495286,0.602739726027397
4969,0.0238468779416379,0.126249238729621,5,14,1,0.4,0.454545454545455,0.839738941261784,0.104109589041096
21705,0.636178224035143,0.821160692847477,5,14,0,0.8,0.136363636363636,0.464104423495286,0.871232876712329
6984,0.936146846564167,0.217920503495881,4,1,1,0.6,0.454545454545455,0.504713560551124,0.0684931506849315
9788,0,0.315201714786375,1,1,0,0.8,0.454545454545455,0.464104423495286,0.797260273972603
4130,0,0.0758678482325011,3,17,1,0.4,0.613636363636364,0.614213197969543,0.980821917808219
21136,0,0.745452651765114,5,14,0,0.4,0.590909090909091,0.464104423495286,0.284931506849315
20209,0,0.721464882975053,5,14,0,0.4,0.454545454545455,0.464104423495286,0.591780821917808
4024,0.542359585817383,0.0793096649138234,5,14,0,0.2,0.454545454545455,0.464104423495286,0.284931506849315
5176,0,0.128548553546526,5,16,0,0.4,0.704545454545455,0.458303118201595,0.104109589041096
7167,0.0139629745842485,0.273930921967997,1,1,0,0.6,0.5,0.464104423495286,0.104109589041096
16646,0.280985252588641,0.600370816193155,1,1,1,0.8,0.75,0.504713560551124,0.0684931506849315
9693,0,0.307199431372767,5,14,0,0.2,0.590909090909091,0.464104423495286,0.186301369863014
7919,0.732977721995607,0.252285401259058,3,17,1,0.8,0.227272727272727,0.989847715736041,0.312328767123288
23587,0.97458424850957,0.841759118945813,5,14,0,0.2,0.0681818181818182,0.464104423495286,0.0136986301369863
22822,0.614998431126451,0.809721363115238,5,14,1,0.2,0.454545454545455,0.480058013052937,0.358904109589041
7149,0.178224035142767,0.241971877121818,1,1,1,0.6,0.454545454545455,0.963741841914431,0.241095890410959
6481,0,0.200819548310258,1,1,1,0.8,0.613636363636364,0.520667150108775,0.871232876712329
9293,0.665673046752432,0.30262465355241,1,1,0,0.8,0.568181818181818,0.457577955039884,0.284931506849315
6517,0,0.196187526137612,3,17,0,0.2,0.136363636363636,0.464104423495286,0.380821917808219
19463,0.994665829934107,0.703275490035507,1,1,1,0.6,0.454545454545455,0.373459028281363,0.0136986301369863
19354,0.895356134295576,0.694250758885198,5,14,0,1,0.681818181818182,0.907179115300943,0.712328767123288
19776,0.0360840916222153,0.7501920070983,1,8,0,0.6,0.454545454545455,0.464104423495286,0.0136986301369863
7506,0,0.237396304241011,5,14,1,0.2,0.568181818181818,0.614213197969543,0.104109589041096
6918,0.339033573893944,0.218783144082445,5,14,1,0.8,0.909090909090909,0.658448150833938,0.876712328767123
21510,0,0.759305785018835,5,14,0,1,0.477272727272727,0.464104423495286,0.0136986301369863
17462,0.187009727016003,0.634676879483147,4,1,1,0.6,0.704545454545455,0.264684554024656,0.791780821917808
4013,0.603388766865391,0.0917587214155892,4,1,1,0.8,0.5,0.326323422770123,0.0986301369863014
6447,0.322089739566991,0.205073916769892,4,1,1,0.6,1,0.405366207396664,0.0684931506849315
5592,0.639159083777847,0.152735087448699,4,1,1,0.6,0.795454545454545,0.121102248005801,0.841095890410959
16960,0.104173203639787,0.736462108214088,5,14,1,0.4,0.75,0.773023930384336,0.901369863013699
6216,0.608252274866646,0.197260062682566,1,1,1,0.8,0.136363636363636,0.326323422770123,0.750684931506849
6330,0.412299968622529,0.395345398110618,1,1,1,0.6,0.795454545454545,0.772298767222625,0.0136986301369863
1999,0.530593034201443,0.860181464596753,1,1,1,0.8,0.613636363636364,0.773023930384336,0.684931506849315
24024,0.449796046438657,0.864825412676126,4,1,0,0.8,0.613636363636364,0.464104423495286,0.380821917808219
21267,0.696893630373392,0.957389530325991,1,1,1,0.8,0.136363636363636,0.34010152284264,0.104109589041096
8224,0.590053341700659,0.288853411524878,5,14,0,0.6,0.5,0.907179115300943,0.50958904109589
26262,0.769689363037339,0.986129375416413,5,14,0,0.8,0.5,0.461928934010152,0.304109589041096
5999,0,0.175570813648962,5,14,1,0.6,0.568181818181818,0.848440899202321,0.841095890410959
11175,0,0.359769623284458,5,14,1,0.2,0.659090909090909,0.42422044960116,0.619178082191781
12359,0,0.399540932097067,5,16,0,0.2,0.75,0.464104423495286,0.797260273972603
25373,0.678537809852526,0.966645624066798,1,8,0,0.6,0.704545454545455,0.464104423495286,0.104109589041096
22954,0,0.811823502940929,5,14,0,0.2,0.590909090909091,0.464104423495286,0.832876712328767
25174,0.236899905867587,0.91174113467847,1,1,1,0.6,0.840909090909091,0.180565627266135,0.104109589041096
21107,0,0.751423555732942,1,1,0,0.6,0.454545454545455,0.464104423495286,0.0136986301369863
20616,0.881550047066206,0.736571031495525,1,1,0,0.8,0.0681818181818182,0.464104423495286,0.186301369863014
22209,0.383746470034515,0.8009669525174,5,14,0,0.6,0.454545454545455,0.464104423495286,0.876712328767123
17789,0.801066834013179,0.648252536640361,1,1,1,0.8,0.0681818181818182,0.805656272661349,0.0712328767123288
8365,0,0.265817330091607,5,14,0,0.4,0.636363636363636,0.464104423495286,0.46027397260274
24784,0.599152808283652,0.880651090902441,4,1,1,0.6,0.704545454545455,0.909354604786077,0.936986301369863
24226,0.69720740508315,0.886377116252149,4,1,1,0.8,0.136363636363636,0.809282088469906,0.876712328767123
12029,0,0.386272168272954,5,14,0,0.2,0.681818181818182,0.461928934010152,0.284931506849315
18406,0.545497332914967,0.67358157240695,1,1,1,0.8,0.5,0.995649021029732,0.783561643835616
7018,0.894728584876059,0.478763140361562,1,1,0,0.8,0.931818181818182,0.464104423495286,0.797260273972603
7499,0.787731408848447,0.24303487294139,1,1,1,0.8,0.159090909090909,0.845540246555475,0.635616438356164
3710,0.118449952933794,0.0565757064509615,4,1,1,0.4,0.863636363636364,0.326323422770123,0.446575342465753
6859,0.891590837778475,0.218706818279394,4,1,1,0.6,0.5,0.0326323422770123,0.791780821917808
12741,0.123784122999686,0.437789700150902,1,1,1,0.6,0.863636363636364,0.614213197969543,0.104109589041096
24289,0.406808911201757,0.870390040754799,5,14,0,0.2,0.318181818181818,0.464104423495286,0.0136986301369863
13540,0,0.442319954586147,5,14,1,0.2,0.590909090909091,0.809282088469906,0.452054794520548
12316,0,0.396565815898983,5,14,0,0.2,0.590909090909091,0.464104423495286,0.380821917808219
15236,0.290241606526514,0.691689074120305,5,14,1,0.8,0.136363636363636,0.773023930384336,0.30958904109589
3073,0.412299968622529,0.0335221336878243,5,14,0,0.4,0.681818181818182,0.464104423495286,0.284931506849315
10282,0,0.328960235846731,1,1,1,0.8,0.613636363636364,0.264684554024656,0.358904109589041
225,0.595073737056793,0.127566653892695,3,2,1,0.6,1,0.645395213923133,0.0136986301369863
2925,0.448227172889865,0.808555804497816,4,1,0,0.8,0.5,0.464104423495286,0.876712328767123
25276,0.763256981487292,0.903777014166387,4,1,1,0.4,0.5,0.326323422770123,0.104109589041096
4071,0.414653278945717,0.873889896848857,4,1,1,0.6,0.909090909090909,0.503988397389413,0.312328767123288
10841,0,0.343441466854725,5,16,0,0.2,0.136363636363636,0.464104423495286,0.304109589041096
19009,0,0.68953287018412,5,14,0,0.4,0.454545454545455,0.464104423495286,0.304109589041096
25241,0.959366175086288,0.911528853538735,1,1,0,0.8,0.568181818181818,0.464104423495286,0.304109589041096
24792,0.839347348603703,0.892355175764013,1,1,1,0.6,0.613636363636364,0.365482233502538,0.619178082191781
6985,0,0.232701472292938,5,16,0,0.2,0.5,0.464104423495286,0.0136986301369863
2572,0.450423595858174,0.0451673840762113,4,1,1,0.8,0.5,0.773023930384336,0.356164383561644
1466,0.118449952933794,0.179017400692975,4,1,1,0.6,0.5,0.614213197969543,0.358904109589041
21532,0.875588327580797,0.767517964390833,1,1,1,0.8,0.5,0.493836113125453,0.104109589041096
17383,0.69720740508315,0.638107565318191,1,1,1,0.8,0.181818181818182,0.326323422770123,0.750684931506849
1010,0.751647317226232,0.33552982033224,4,1,1,0.8,0.909090909090909,0.848440899202321,0.876712328767123
1198,0.462503922183872,0.00153605678639747,1,1,1,0.6,0.136363636363636,0.317621464829587,0.0136986301369863
18241,0,0.688302911670374,5,14,0,0.2,0.568181818181818,0.464104423495286,0.0136986301369863
23259,0,0.824625566281804,5,14,0,0.2,0.0681818181818182,0.464104423495286,0.104109589041096
24808,0,0.881586081989814,5,16,0,0.8,0.795454545454545,0.464104423495286,0.380821917808219
6374,0.802165045497333,0.190160172877944,4,1,1,0.6,0.909090909090909,0.614213197969543,0.410958904109589
24408,0.528553498588014,0.875384610491936,5,14,1,0.8,0.840909090909091,0.801305293691081,0.243835616438356
7038,0.433322874176341,0.238406826070986,1,1,1,0.6,0.136363636363636,0.625090645395214,0.104109589041096
13894,0.425478506432382,0.4628333092165,1,1,1,0.8,0.454545454545455,0.0536620739666425,0.356164383561644
11094,0,0.364235477823379,1,1,0,0.8,0.659090909090909,0.464104423495286,0.810958904109589
6380,0,0.196188321198061,3,2,1,0.4,0.5,0.638143582306019,0.756164383561644
23603,0,0.844111702812765,5,14,1,0.8,0.136363636363636,0.614213197969543,0.791780821917808
25062,0,0.89604028094256,5,14,1,0.6,0.5,0.773023930384336,0.619178082191781
15336,0.058989645434578,0.529419621773843,1,1,0,0.6,0.840909090909091,0.464104423495286,0.0136986301369863
10818,0.510825227486665,0.358726503976097,1,1,1,0.6,0.5,0.326323422770123,0.356164383561644
13968,0,0.460661204071346,5,14,1,0.4,0.454545454545455,0.0536620739666425,0.901369863013699
12622,0,0.406617765148684,5,14,0,0.2,0.590909090909091,0.464104423495286,0.810958904109589
4150,0.18559774082209,0.0873183088110189,5,14,0,0.6,0.795454545454545,0.464104423495286,0.304109589041096
2383,0,0.00257758597386159,5,16,0,0.2,0.840909090909091,0.461928934010152,0.380821917808219
7764,0,0.252351391276279,5,14,1,0.8,0.5,0.697606961566352,0.0849315068493151
11894,0.528553498588014,0.383591224440794,4,1,1,0.8,0.181818181818182,0.390862944162437,0.69041095890411
16269,0.142453718230311,0.582031156828854,1,1,1,0.6,0.840909090909091,0.375634517766497,0.69041095890411
5188,0.682930655789143,0.133286318758815,4,1,1,0.6,0.954545454545455,0.326323422770123,0.841095890410959
4484,0.475525572638845,0.105817775325458,1,1,1,0.8,0.136363636363636,0.872371283538796,0.0986301369863014
8232,0,0.260323462392846,5,14,0,1,0.477272727272727,0.464104423495286,0.172602739726027
5117,0,0.133266442247604,1,1,1,0.8,0.5,0.326323422770123,0.750684931506849
11953,0,0.391664268234314,1,1,0,0.8,0.454545454545455,0.464104423495286,0.602739726027397
11685,0.803577031691246,0.384771094146288,4,1,0,0.6,0.977272727272727,0.464104423495286,0.90958904109589
14008,0.160338876686539,0.466442883652444,1,1,1,0.6,0.659090909090909,0.527193618564177,0.684931506849315
10060,0,0.318709521484918,5,14,0,0.4,0.545454545454545,0.464104423495286,0.871232876712329
19275,0.780985252588641,0.694086976432818,5,14,1,0.4,0.863636363636364,0.396664249456128,0.158904109589041
10895,0.144336366488861,0.354002254791432,5,14,0,0.4,0.0681818181818182,0.464104423495286,0.104109589041096
21174,0.0699717602761217,0.764947533961007,1,1,0,0.2,0.454545454545455,0.464104423495286,0.797260273972603
7622,0.516943834326953,0.25552765776782,4,1,1,0.2,0.5,0.773023930384336,0.487671232876712
5204,0.124411672419203,0.130783468467108,4,1,1,0.8,0.5,0.773023930384336,0.506849315068493
10968,0,0.347084433829504,5,14,0,0.2,0.477272727272727,0.464104423495286,0.284931506849315
13040,0.0862880451835582,0.472982255840912,1,1,0,0.8,0.454545454545455,0.464104423495286,0.0136986301369863
9112,0,0.296713379118214,5,14,1,0.6,0.5,0.819434372733865,0.104109589041096
15897,0.502980859742705,0.572744055730557,1,8,1,0.8,0.5,0.773023930384336,0.356164383561644
15165,0.63868842171321,0.524755002122811,5,14,1,0.8,0.909090909090909,0.546773023930384,0.104109589041096
14924,0.520395356134296,0.5084665987155,5,14,0,0.8,0.568181818181818,0.464104423495286,0.104109589041096
7317,0.798713523689991,0.232722938925046,4,1,1,0.2,0.25,0.614213197969543,0.980821917808219
25662,0.512080326325698,0.936948526196447,4,1,1,0.6,0.909090909090909,0.0195794053662074,0.871232876712329
6061,0.82224662692187,0.183557990914049,5,14,1,0.6,0.659090909090909,0.614213197969543,0.112328767123288
17430,0.510197678067148,0.689524919579636,1,1,0,0.6,0.181818181818182,0.464104423495286,0.591780821917808
24787,0.653749607781613,0.885210762574279,5,14,1,0.4,0.136363636363636,0.613488034807832,0.372602739726027
18905,0,0.681651435958676,5,14,0,1,0.590909090909091,0.464104423495286,0.104109589041096
16182,0.528710385942893,0.742091931249533,5,14,1,0.8,0.5,0.613488034807832,0.0136986301369863
13110,0,0.428405601677896,1,1,1,0.6,0.5,0.588107324147933,0.967123287671233
20244,0.756510825227487,0.724722245632335,3,17,0,0.2,0.0681818181818182,0.464104423495286,0.810958904109589
23688,0.396611233134609,0.853316912684871,4,1,1,0.4,0.613636363636364,0.469905728788978,0.243835616438356
25927,0,0.948167624184467,5,14,1,0.6,0.454545454545455,0.614213197969543,0.0986301369863014
394,0.922497646689677,0.672483593927646,4,1,1,0.8,1,0.325598259608412,0.241095890410959
